abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
Float64Array.of,"\nFloat64Array.of( element0:number[, element1:number[, ...elementN:number]] )\n    Creates a new typed array from a variable number of arguments.\n"
Float64Array.BYTES_PER_ELEMENT,"\nFloat64Array.BYTES_PER_ELEMENT\n    Number of bytes per view element.\n"
Float64Array.name,"\nFloat64Array.name\n    Typed array constructor name.\n"
Float64Array.prototype.buffer,"\nFloat64Array.prototype.buffer\n    Read-only property which returns the ArrayBuffer referenced by the typed\n    array.\n"
Float64Array.prototype.byteLength,"\nFloat64Array.prototype.byteLength\n    Read-only property which returns the length (in bytes) of the typed array.\n"
Float64Array.prototype.byteOffset,"\nFloat64Array.prototype.byteOffset\n    Read-only property which returns the offset (in bytes) of the typed array\n    from the start of its ArrayBuffer.\n"
Float64Array.prototype.BYTES_PER_ELEMENT,"\nFloat64Array.prototype.BYTES_PER_ELEMENT\n    Number of bytes per view element.\n"
Float64Array.prototype.length,"\nFloat64Array.prototype.length\n    Read-only property which returns the number of view elements.\n"
Float64Array.prototype.copyWithin,"\nFloat64Array.prototype.copyWithin( target:integer, start:integer[, \n  end:integer] )\n    Copies a sequence of elements within the array starting at `start` and\n    ending at `end` (non-inclusive) to the position starting at `target`.\n"
Float64Array.prototype.entries,"\nFloat64Array.prototype.entries()\n    Returns an iterator for iterating over array key-value pairs.\n"
Float64Array.prototype.every,"\nFloat64Array.prototype.every( predicate:Function[, thisArg:Any] )\n    Tests whether all array elements pass a test implemented by a predicate\n    function.\n"
Float64Array.prototype.fill,"\nFloat64Array.prototype.fill( value:number[, start:integer[, end:integer]] )\n    Fills an array from a start index to an end index (non-inclusive) with a\n    provided value.\n"
Float64Array.prototype.filter,"\nFloat64Array.prototype.filter( predicate:Function[, thisArg:Any] )\n    Creates a new array which includes those elements for which a predicate\n    function returns a truthy value.\n"
Float64Array.prototype.find,"\nFloat64Array.prototype.find( predicate:Function[, thisArg:Any] )\n    Returns the first array element for which a provided predicate function\n    returns a truthy value.\n"
Float64Array.prototype.findIndex,"\nFloat64Array.prototype.findIndex( predicate:Function[, thisArg:Any] )\n    Returns the index of the first array element for which a provided predicate\n    function returns a truthy value.\n"
Float64Array.prototype.forEach,"\nFloat64Array.prototype.forEach( fcn:Function[, thisArg:Any] )\n    Invokes a callback for each array element.\n"
Float64Array.prototype.includes,"\nFloat64Array.prototype.includes( searchElement:number[, fromIndex:integer] )\n    Returns a boolean indicating whether an array includes a search element.\n"
Float64Array.prototype.indexOf,"\nFloat64Array.prototype.indexOf( searchElement:number[, fromIndex:integer] )\n    Returns the index of the first array element strictly equal to a search\n    element.\n"
Float64Array.prototype.join,"\nFloat64Array.prototype.join( [separator:string] )\n    Serializes an array by joining all array elements as a string.\n"
Float64Array.prototype.keys,"\nFloat64Array.prototype.keys()\n    Returns an iterator for iterating over array keys.\n"
Float64Array.prototype.lastIndexOf,"\nFloat64Array.prototype.lastIndexOf( searchElement:number[, fromIndex:integer] )\n    Returns the index of the last array element strictly equal to a search\n    element.\n"
Float64Array.prototype.map,"\nFloat64Array.prototype.map( fcn:Function[, thisArg:Any] )\n    Maps each array element to an element in a new typed array.\n"
Float64Array.prototype.reduce,"\nFloat64Array.prototype.reduce( fcn:Function[, initialValue:Any] )\n    Applies a function against an accumulator and each element in an array and\n    returns the accumulated result.\n"
Float64Array.prototype.reduceRight,"\nFloat64Array.prototype.reduceRight( fcn:Function[, initialValue:Any] )\n    Applies a function against an accumulator and each element in an array and\n    returns the accumulated result, iterating from right to left.\n"
Float64Array.prototype.reverse,"\nFloat64Array.prototype.reverse()\n    Reverses an array *in-place*.\n"
Float64Array.prototype.set,"\nFloat64Array.prototype.set( arr:ArrayLike[, offset:integer] )\n    Sets array elements.\n"
Float64Array.prototype.slice,"\nFloat64Array.prototype.slice( [begin:integer[, end:integer]] )\n    Copies array elements to a new array with the same underlying data type as\n    the host array.\n"
Float64Array.prototype.some,"\nFloat64Array.prototype.some( predicate:Function[, thisArg:Any] )\n    Tests whether at least one array element passes a test implemented by a\n    predicate function.\n"
Float64Array.prototype.sort,"\nFloat64Array.prototype.sort( [compareFunction:Function] )\n    Sorts an array *in-place*.\n"
Float64Array.prototype.subarray,"\nFloat64Array.prototype.subarray( [begin:integer[, end:integer]] )\n    Creates a new typed array over the same underlying ArrayBuffer and with the\n    same underlying data type as the host array.\n"
Float64Array.prototype.toLocaleString,"\nFloat64Array.prototype.toLocaleString( [locales:string|Array[, \n  options:Object]] )\n    Serializes an array as a locale-specific string.\n"
Float64Array.prototype.toString,"\nFloat64Array.prototype.toString()\n    Serializes an array as a string.\n"
Float64Array.prototype.values,"\nFloat64Array.prototype.values()\n    Returns an iterator for iterating over array elements.\n"
forEach,"\nforEach( collection:Array|TypedArray|Object, fcn:Function[, thisArg:any] )\n    Invokes a function for each element in a collection.\n"
forEachAsync,"\nforEachAsync( collection:Array|TypedArray|Object, [options:Object,] \n  fcn:Function, done:Function )\n    Invokes a function once for each element in a collection.\n"
forEachAsync.factory,"\nforEachAsync.factory( [options:Object,] fcn:Function )\n    Returns a function which invokes a function once for each element in a\n    collection.\n"
forEachChar,"\nforEachChar( str:string, [options:Object,] clbk:Function[, thisArg:any] )\n    Invokes a function for each character in a string.\n"
forEachRight,"\nforEachRight( collection:Array|TypedArray|Object, fcn:Function[, thisArg:any] )\n    Invokes a function for each element in a collection, iterating from right to\n    left.\n"
forEachRightAsync,"\nforEachRightAsync( collection:Array|TypedArray|Object, [options:Object,] \n  fcn:Function, done:Function )\n    Invokes a function once for each element in a collection, iterating from\n    right to left.\n"
forEachRightAsync.factory,"\nforEachRightAsync.factory( [options:Object,] fcn:Function )\n    Returns a function which invokes a function once for each element in a\n    collection, iterating from right to left.\n"
forIn,"\nforIn( obj:Object, fcn:Function[, thisArg:any] )\n    Invokes a function for each own and inherited enumerable property of an\n    object.\n"
format,"\nformat( str:string, ...args:any )\n    Insert supplied variable values into a format string.\n"
forOwn,"\nforOwn( obj:Object, fcn:Function[, thisArg:any] )\n    Invokes a function for each own enumerable property of an object.\n"
FOURTH_PI,"\nFOURTH_PI\n    One fourth times the mathematical constant `π`.\n"
FOURTH_ROOT_EPS,"\nFOURTH_ROOT_EPS\n    Fourth root of double-precision floating-point epsilon.\n"
FRB_SF_WAGE_RIGIDITY,"\nFRB_SF_WAGE_RIGIDITY()\n    Returns wage rates for U.S. workers that have not changed jobs within the\n    year.\n"
fromCodePoint,"\nfromCodePoint( ...pt:integer )\n    Creates a string from a sequence of Unicode code points.\n"
Function,"\nFunction( [...argNames:any,] body:string )\n    Returns a Function object.\n"
Function.prototype.apply,"\nFunction.prototype.apply( thisArg:any, args:Array )\n    Calls a function with a given `this` value and arguments provided as an\n    array (or array-like object).\n"
Function.prototype.call,"\nFunction.prototype.call( thisArg:any, ...args:any )\n    Calls a function with a given `this` value and arguments provided\n    individually.\n"
Function.prototype.bind,"\nFunction.prototype.bind( thisArg:any, ...args:any )\n    Creates a new function which, when called, has its `this` keyword set to the\n    provided value, with a given sequence of arguments preceding any provided\n    when the new function is called.\n"
Function.prototype.toString,"\nFunction.prototype.toString()\n    Returns a string representation of the function.\n"
Function.prototype.length,"\nFunction.prototype.length\n    The number of arguments expected by the function.\n"
Function.prototype.name,"\nFunction.prototype.name\n    The name of the function.\n"
Function.prototype.prototype,"\nFunction.prototype.prototype\n    The prototype of the function.\n"
function2string,"\nfunction2string( fcn:Function )\n    Returns a string representing the source code of a provided function.\n"
functionName,"\nfunctionName( fcn:Function )\n    Returns the name of a function.\n"
functionSequence,"\nfunctionSequence( ...fcn:Function )\n    Returns a pipeline function.\n"
functionSequenceAsync,"\nfunctionSequenceAsync( ...fcn:Function )\n    Returns a pipeline function.\n"
GAMMA_LANCZOS_G,"\nGAMMA_LANCZOS_G\n    Arbitrary constant `g` to be used in Lanczos approximation functions.\n"
gdot,"\ngdot( x:ndarray|ArrayLikeObject, y:ndarray|ArrayLikeObject )\n    Computes the dot product of two vectors.\n"
getegid,"\ngetegid()\n    Returns the effective numeric group identity of the calling process.\n"
geteuid,"\ngeteuid()\n    Returns the effective numeric user identity of the calling process.\n"
getgid,"\ngetgid()\n    Returns the numeric group identity of the calling process.\n"
getGlobal,"\ngetGlobal( [codegen:boolean] )\n    Returns the global object.\n"
getPrototypeOf,"\ngetPrototypeOf( value:any )\n    Returns the prototype of a provided object.\n"
getuid,"\ngetuid()\n    Returns the numeric user identity of the calling process.\n"
GLAISHER,"\nGLAISHER\n    Glaisher-Kinkelin constant.\n"
graphemeClusters2iterator,"\ngraphemeClusters2iterator( src:string[, mapFcn:Function[, thisArg:any]] )\n    Returns an iterator which iterates over each grapheme cluster in a string.\n"
graphemeClusters2iteratorRight,"\ngraphemeClusters2iteratorRight( src:string[, mapFcn:Function[, thisArg:any]] )\n    Returns an iterator which iterates from right to left over each grapheme\n    cluster in a string.\n"
group,"\ngroup( collection:Array|TypedArray|Object, [options:Object,] \n  groups:Array|TypedArray|Object )\n    Groups values as arrays associated with distinct keys.\n"
groupBy,"\ngroupBy( collection:Array|TypedArray|Object, [options:Object,] \n  indicator:Function )\n    Groups values according to an indicator function.\n"
groupByAsync,"\ngroupByAsync( collection:Array|TypedArray|Object, [options:Object,] \n  indicator:Function, done:Function )\n    Groups values according to an indicator function.\n"
groupByAsync.factory,"\ngroupByAsync.factory( [options:Object,] indicator:Function )\n    Returns a function which groups values according to an indicator function.\n"
groupIn,"\ngroupIn( obj:Object|Array|TypedArray, [options:Object,] indicator:Function )\n    Group values according to an indicator function.\n"
groupOwn,"\ngroupOwn( obj:Object|Array|TypedArray, [options:Object,] indicator:Function )\n    Group values according to an indicator function.\n"
gswap,"\ngswap( x:ndarray|ArrayLikeObject, y:ndarray|ArrayLikeObject )\n    Interchanges two vectors.\n"
HALF_LN2,"\nHALF_LN2\n    One half times the natural logarithm of `2`.\n"
HALF_PI,"\nHALF_PI\n    One half times the mathematical constant `π`.\n"
HARRISON_BOSTON_HOUSE_PRICES,"\nHARRISON_BOSTON_HOUSE_PRICES()\n    Returns a dataset derived from information collected by the US Census\n    Service concerning housing in Boston, Massachusetts (1978).\n"
HARRISON_BOSTON_HOUSE_PRICES_CORRECTED,"\nHARRISON_BOSTON_HOUSE_PRICES_CORRECTED()\n    Returns a (corrected) dataset derived from information collected by the US\n    Census Service concerning housing in Boston, Massachusetts (1978).\n"
hasArrayBufferSupport,"\nhasArrayBufferSupport()\n    Tests for native `ArrayBuffer` support.\n"
hasArrowFunctionSupport,"\nhasArrowFunctionSupport()\n    Tests whether an environment supports native arrow functions.\n"
hasAsyncAwaitSupport,"\nhasAsyncAwaitSupport()\n    Tests for native `async`/`await` support.\n"
hasAsyncIteratorSymbolSupport,"\nhasAsyncIteratorSymbolSupport()\n    Tests for native `Symbol.asyncIterator` support.\n"
hasAtobSupport,"\nhasAtobSupport()\n    Tests for native `atob` support.\n"
hasBigInt64ArraySupport,"\nhasBigInt64ArraySupport()\n    Tests for native `BigInt64Array` support.\n"
hasBigIntSupport,"\nhasBigIntSupport()\n    Tests for native `BigInt` support.\n"
hasBigUint64ArraySupport,"\nhasBigUint64ArraySupport()\n    Tests for native `BigUint64Array` support.\n"
hasBtoaSupport,"\nhasBtoaSupport()\n    Tests for native `btoa` support.\n"
hasClassSupport,"\nhasClassSupport()\n    Tests for native `class` support.\n"
hasDataViewSupport,"\nhasDataViewSupport()\n    Tests for native `DataView` support.\n"
hasDefinePropertiesSupport,"\nhasDefinePropertiesSupport()\n    Tests for `Object.defineProperties` support.\n"
hasDefinePropertySupport,"\nhasDefinePropertySupport()\n    Tests for `Object.defineProperty` support.\n"
hasFloat32ArraySupport,"\nhasFloat32ArraySupport()\n    Tests for native `Float32Array` support.\n"
hasFloat64ArraySupport,"\nhasFloat64ArraySupport()\n    Tests for native `Float64Array` support.\n"
hasFunctionNameSupport,"\nhasFunctionNameSupport()\n    Tests for native function `name` support.\n"
hasGeneratorSupport,"\nhasGeneratorSupport()\n    Tests whether an environment supports native generator functions.\n"
hasGlobalThisSupport,"\nhasGlobalThisSupport()\n    Tests for `globalThis` support.\n"
hasInt8ArraySupport,"\nhasInt8ArraySupport()\n    Tests for native `Int8Array` support.\n"
hasInt16ArraySupport,"\nhasInt16ArraySupport()\n    Tests for native `Int16Array` support.\n"
hasInt32ArraySupport,"\nhasInt32ArraySupport()\n    Tests for native `Int32Array` support.\n"
hasIteratorSymbolSupport,"\nhasIteratorSymbolSupport()\n    Tests for native `Symbol.iterator` support.\n"
hasMapSupport,"\nhasMapSupport()\n    Tests for native `Map` support.\n"
hasNodeBufferSupport,"\nhasNodeBufferSupport()\n    Tests for native `Buffer` support.\n"
hasOwnProp,"\nhasOwnProp( value:any, property:any )\n    Tests if an object has a specified property.\n"
hasProp,"\nhasProp( value:any, property:any )\n    Tests if an object has a specified property, either own or inherited.\n"
hasProxySupport,"\nhasProxySupport()\n    Tests whether an environment has native `Proxy` support.\n"
hasSetSupport,"\nhasSetSupport()\n    Tests for native `Set` support.\n"
hasSharedArrayBufferSupport,"\nhasSharedArrayBufferSupport()\n    Tests for native `SharedArrayBuffer` support.\n"
hasSymbolSupport,"\nhasSymbolSupport()\n    Tests for native `Symbol` support.\n"
hasToStringTagSupport,"\nhasToStringTagSupport()\n    Tests for native `toStringTag` support.\n"
hasUint8ArraySupport,"\nhasUint8ArraySupport()\n    Tests for native `Uint8Array` support.\n"
hasUint8ClampedArraySupport,"\nhasUint8ClampedArraySupport()\n    Tests for native `Uint8ClampedArray` support.\n"
hasUint16ArraySupport,"\nhasUint16ArraySupport()\n    Tests for native `Uint16Array` support.\n"
hasUint32ArraySupport,"\nhasUint32ArraySupport()\n    Tests for native `Uint32Array` support.\n"
hasUTF16SurrogatePairAt,"\nhasUTF16SurrogatePairAt( str:string, pos:integer )\n    Tests if a position in a string marks the start of a UTF-16 surrogate pair.\n"
hasWeakMapSupport,"\nhasWeakMapSupport()\n    Tests for native `WeakMap` support.\n"
hasWeakSetSupport,"\nhasWeakSetSupport()\n    Tests for native `WeakSet` support.\n"
hasWebAssemblySupport,"\nhasWebAssemblySupport()\n    Tests for native WebAssembly support.\n"
headercase,"\nheadercase( str:string )\n    Converts a string to HTTP header case.\n"
HERNDON_VENUS_SEMIDIAMETERS,"\nHERNDON_VENUS_SEMIDIAMETERS()\n    Returns fifteen observations of the vertical semidiameter of Venus, made by\n    Lieutenant Herndon, with the meridian circle at Washington, in the year\n    1846.\n"
homedir,"\nhomedir()\n    Returns the current user's home directory.\n"
HOURS_IN_DAY,"\nHOURS_IN_DAY\n    Number of hours in a day.\n"
HOURS_IN_WEEK,"\nHOURS_IN_WEEK\n    Number of hours in a week.\n"
hoursInMonth,"\nhoursInMonth( [month:string|Date|integer[, year:integer]] )\n    Returns the number of hours in a month.\n"
hoursInYear,"\nhoursInYear( [value:integer|Date] )\n    Returns the number of hours in a year according to the Gregorian calendar.\n"
httpServer,"\nhttpServer( [options:Object,] [requestListener:Function] )\n    Returns a function to create an HTTP server.\n"
identity,"\nidentity( x:any )\n    Identity function.\n"
ifelse,"\nifelse( bool:boolean, x:any, y:any )\n    If a condition is truthy, returns `x`; otherwise, returns `y`.\n"
ifelseAsync,"\nifelseAsync( predicate:Function, x:any, y:any, done:Function )\n    If a predicate function returns a truthy value, returns `x`; otherwise,\n    returns `y`.\n"
ifthen,"\nifthen( bool:boolean, x:Function, y:Function )\n    If a condition is truthy, invoke `x`; otherwise, invoke `y`.\n"
ifthenAsync,"\nifthenAsync( predicate:Function, x:Function, y:Function, done:Function )\n    If a predicate function returns a truthy value, invokes `x`; otherwise,\n    invokes `y`.\n"
imag,"\nimag( z:Complex128 )\n    Returns the imaginary component of a double-precision complex floating-point\n    number.\n"
imagf,"\nimagf( z:Complex64 )\n    Returns the imaginary component of a single-precision complex floating-point\n    number.\n"
IMG_ACANTHUS_MOLLIS,"\nIMG_ACANTHUS_MOLLIS()\n    Returns a `Buffer` containing image data of Karl Blossfeldt's gelatin silver\n    print *Acanthus mollis*.\n"
IMG_AIRPLANE_FROM_ABOVE,"\nIMG_AIRPLANE_FROM_ABOVE()\n    Returns a `Buffer` containing image data of Fédèle Azari's gelatin silver\n    print of an airplane, viewed from above looking down.\n"
IMG_ALLIUM_OREOPHILUM,"\nIMG_ALLIUM_OREOPHILUM()\n    Returns a `Buffer` containing image data of Karl Blossfeldt's gelatin silver\n    print *Allium ostrowskianum*.\n"
IMG_BLACK_CANYON,"\nIMG_BLACK_CANYON()\n    Returns a `Buffer` containing image data of Timothy H. O'Sullivan's albumen\n    silver print *Black Cañon, Colorado River, From Camp 8, Looking Above*.\n"
IMG_DUST_BOWL_HOME,"\nIMG_DUST_BOWL_HOME()\n    Returns a `Buffer` containing image data of Dorothea Lange's gelatin silver\n    print of an abandoned Dust Bowl home.\n"
IMG_FRENCH_ALPINE_LANDSCAPE,"\nIMG_FRENCH_ALPINE_LANDSCAPE()\n    Returns a `Buffer` containing image data of Adolphe Braun's carbon print of\n    a French alpine landscape.\n"
IMG_LOCOMOTION_HOUSE_CAT,"\nIMG_LOCOMOTION_HOUSE_CAT()\n    Returns a `Buffer` containing image data of Eadweard J. Muybridge's\n    collotype of a house cat (24 views).\n"
IMG_LOCOMOTION_NUDE_MALE,"\nIMG_LOCOMOTION_NUDE_MALE()\n    Returns a `Buffer` containing image data of Eadweard J. Muybridge's\n    collotype of a nude male moving in place (48 views).\n"
IMG_MARCH_PASTORAL,"\nIMG_MARCH_PASTORAL()\n    Returns a `Buffer` containing image data of Peter Henry Emerson's\n    photogravure of sheep in a pastoral setting.\n"
IMG_NAGASAKI_BOATS,"\nIMG_NAGASAKI_BOATS()\n    Returns a `Buffer` containing image data of Felice Beato's albumen silver\n    print of boats in a river in Nagasaki.\n"
incrapcorr,"\nincrapcorr( [mx:number, my:number] )\n    Returns an accumulator function which incrementally computes the absolute\n    value of the sample Pearson product-moment correlation coefficient.\n"
incrBinaryClassification,"\nincrBinaryClassification( N:integer[, options:Object] )\n    Returns an accumulator function which incrementally performs binary\n    classification using stochastic gradient descent (SGD).\n"
incrcount,"\nincrcount()\n    Returns an accumulator function which incrementally updates a count.\n"
incrcovariance,"\nincrcovariance( [mx:number, my:number] )\n    Returns an accumulator function which incrementally computes an unbiased\n    sample covariance.\n"
incrcovmat,"\nincrcovmat( out:integer|ndarray[, means:ndarray] )\n    Returns an accumulator function which incrementally computes an unbiased\n    sample covariance matrix.\n"
incrcv,"\nincrcv( [mean:number] )\n    Returns an accumulator function which incrementally computes the coefficient\n    of variation (CV).\n"
increwmean,"\nincrewmean( α:number )\n    Returns an accumulator function which incrementally computes an\n    exponentially weighted mean, where α is a smoothing factor between 0 and 1.\n"
increwstdev,"\nincrewstdev( α:number )\n    Returns an accumulator function which incrementally computes an\n    exponentially weighted standard deviation, where α is a smoothing factor\n    between 0 and 1.\n"
increwvariance,"\nincrewvariance( α:number )\n    Returns an accumulator function which incrementally computes an\n    exponentially weighted variance, where α is a smoothing factor between 0 and\n    1.\n"
incrgmean,"\nincrgmean()\n    Returns an accumulator function which incrementally computes a geometric\n    mean.\n"
incrgrubbs,"\nincrgrubbs( [options:Object] )\n    Returns an accumulator function which incrementally performs Grubbs' test\n    for detecting outliers.\n"
incrhmean,"\nincrhmean()\n    Returns an accumulator function which incrementally computes a harmonic\n    mean.\n"
incrkmeans,"\nincrkmeans( k:integer|ndarray[, ndims:integer][, options:Object] )\n    Returns an accumulator function which incrementally partitions data into `k`\n    clusters.\n"
incrkurtosis,"\nincrkurtosis()\n    Returns an accumulator function which incrementally computes a corrected\n    sample excess kurtosis.\n"
incrmaape,"\nincrmaape()\n    Returns an accumulator function which incrementally computes the mean\n    arctangent absolute percentage error (MAAPE).\n"
incrmae,"\nincrmae()\n    Returns an accumulator function which incrementally computes the mean\n    absolute error (MAE).\n"
incrmapcorr,"\nincrmapcorr( W:integer[, mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a moving\n    sample absolute Pearson product-moment correlation coefficient.\n"
incrmape,"\nincrmape()\n    Returns an accumulator function which incrementally computes the mean\n    absolute percentage error (MAPE).\n"
incrmax,"\nincrmax()\n    Returns an accumulator function which incrementally computes a maximum\n    value.\n"
incrmaxabs,"\nincrmaxabs()\n    Returns an accumulator function which incrementally computes a maximum\n    absolute value.\n"
incrmcovariance,"\nincrmcovariance( W:integer[, mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a moving\n    unbiased sample covariance.\n"
incrmcv,"\nincrmcv( W:integer[, mean:number] )\n    Returns an accumulator function which incrementally computes a moving\n    coefficient of variation (CV).\n"
incrmda,"\nincrmda()\n    Returns an accumulator function which incrementally computes the mean\n    directional accuracy (MDA).\n"
incrme,"\nincrme()\n    Returns an accumulator function which incrementally computes the mean error\n    (ME).\n"
incrmean,"\nincrmean()\n    Returns an accumulator function which incrementally computes an arithmetic\n    mean.\n"
incrmeanabs,"\nincrmeanabs()\n    Returns an accumulator function which incrementally computes an arithmetic\n    mean of absolute values.\n"
incrmeanabs2,"\nincrmeanabs2()\n    Returns an accumulator function which incrementally computes an arithmetic\n    mean of squared absolute values.\n"
incrmeanstdev,"\nincrmeanstdev( [out:Array|TypedArray] )\n    Returns an accumulator function which incrementally computes an arithmetic\n    mean and corrected sample standard deviation.\n"
incrmeanvar,"\nincrmeanvar( [out:Array|TypedArray] )\n    Returns an accumulator function which incrementally computes an arithmetic\n    mean and unbiased sample variance.\n"
incrmgmean,"\nincrmgmean( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    geometric mean.\n"
incrmgrubbs,"\nincrmgrubbs( W:integer[, options:Object] )\n    Returns an accumulator function which incrementally performs a moving\n    Grubbs' test for detecting outliers.\n"
incrmhmean,"\nincrmhmean( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    harmonic mean.\n"
incrmidrange,"\nincrmidrange()\n    Returns an accumulator function which incrementally computes a mid-range.\n"
incrmin,"\nincrmin()\n    Returns an accumulator function which incrementally computes a minimum\n    value.\n"
incrminabs,"\nincrminabs()\n    Returns an accumulator function which incrementally computes a minimum\n    absolute value.\n"
incrminmax,"\nincrminmax( [out:Array|TypedArray] )\n    Returns an accumulator function which incrementally computes a minimum and\n    maximum.\n"
incrminmaxabs,"\nincrminmaxabs( [out:Array|TypedArray] )\n    Returns an accumulator function which incrementally computes a minimum and\n    maximum absolute value.\n"
incrmmaape,"\nincrmmaape( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    mean arctangent absolute percentage error (MAAPE).\n"
incrmmae,"\nincrmmae( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    mean absolute error (MAE).\n"
incrmmape,"\nincrmmape( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    mean absolute percentage error (MAPE).\n"
incrmmax,"\nincrmmax( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    maximum value.\n"
incrmmaxabs,"\nincrmmaxabs( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    maximum absolute value.\n"
incrmmda,"\nincrmmda( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    mean directional accuracy (MDA).\n"
incrmme,"\nincrmme( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    mean error (ME).\n"
incrmmean,"\nincrmmean( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    arithmetic mean.\n"
incrmmeanabs,"\nincrmmeanabs( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    arithmetic mean of absolute values.\n"
incrmmeanabs2,"\nincrmmeanabs2( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    arithmetic mean of squared absolute values.\n"
incrmmeanstdev,"\nincrmmeanstdev( [out:Array|TypedArray,] W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    arithmetic mean and corrected sample standard deviation.\n"
incrmmeanvar,"\nincrmmeanvar( [out:Array|TypedArray,] W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    arithmetic mean and unbiased sample variance.\n"
incrmmidrange,"\nincrmmidrange( W:integer )\n    Returns an accumulator function which incrementally computes a moving mid-\n    range.\n"
incrmmin,"\nincrmmin( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    minimum value.\n"
incrmminabs,"\nincrmminabs( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    minimum absolute value.\n"
incrmminmax,"\nincrmminmax( [out:Array|TypedArray,] W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    minimum and maximum.\n"
incrmminmaxabs,"\nincrmminmaxabs( [out:Array|TypedArray,] W:integer )\n    Returns an accumulator function which incrementally computes moving minimum\n    and maximum absolute values.\n"
incrmmpe,"\nincrmmpe( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    mean percentage error (MPE).\n"
incrmmse,"\nincrmmse( W:integer )\n    Returns an accumulator function which incrementally computes a moving mean\n    squared error (MSE).\n"
incrmpcorr,"\nincrmpcorr( W:integer[, mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a moving\n    sample Pearson product-moment correlation coefficient.\n"
incrmpcorr2,"\nincrmpcorr2( W:integer[, mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a moving\n    squared sample Pearson product-moment correlation coefficient.\n"
incrmpcorrdist,"\nincrmpcorrdist( W:integer[, mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a moving\n    sample Pearson product-moment correlation distance.\n"
incrmpe,"\nincrmpe()\n    Returns an accumulator function which incrementally computes the mean\n    percentage error (MPE).\n"
incrmprod,"\nincrmprod( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    product.\n"
incrmrange,"\nincrmrange( W:integer )\n    Returns an accumulator function which incrementally computes a moving range.\n"
incrmrmse,"\nincrmrmse( W:integer )\n    Returns an accumulator function which incrementally computes a moving root\n    mean squared error (RMSE).\n"
incrmrss,"\nincrmrss( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    residual sum of squares (RSS).\n"
incrmse,"\nincrmse()\n    Returns an accumulator function which incrementally computes the mean\n    squared error (MSE).\n"
incrmstdev,"\nincrmstdev( W:integer[, mean:number] )\n    Returns an accumulator function which incrementally computes a moving\n    corrected sample standard deviation.\n"
incrmsum,"\nincrmsum( W:integer )\n    Returns an accumulator function which incrementally computes a moving sum.\n"
incrmsumabs,"\nincrmsumabs( W:integer )\n    Returns an accumulator function which incrementally computes a moving sum of\n    absolute values.\n"
incrmsumabs2,"\nincrmsumabs2( W:integer )\n    Returns an accumulator function which incrementally computes a moving sum of\n    squared absolute values.\n"
incrmsummary,"\nincrmsummary( W:integer )\n    Returns an accumulator function which incrementally computes a moving\n    statistical summary.\n"
incrmsumprod,"\nincrmsumprod( W:integer )\n    Returns an accumulator function which incrementally computes a moving sum of\n    products.\n"
incrmvariance,"\nincrmvariance( W:integer[, mean:number] )\n    Returns an accumulator function which incrementally computes a moving\n    unbiased sample variance.\n"
incrmvmr,"\nincrmvmr( W:integer[, mean:number] )\n    Returns an accumulator function which incrementally computes a moving\n    variance-to-mean (VMR).\n"
incrnancount,"\nincrnancount()\n    Returns an accumulator function which incrementally updates a count,\n    ignoring `NaN` values.\n"
incrnansum,"\nincrnansum()\n    Returns an accumulator function which incrementally computes a sum, ignoring\n    `NaN` values.\n"
incrnansumabs,"\nincrnansumabs()\n    Returns an accumulator function which incrementally computes a sum of\n    absolute values, ignoring NaN values.\n"
incrnansumabs2,"\nincrnansumabs2()\n    Returns an accumulator function which incrementally computes a sum of\n    squared absolute values, ignoring NaN values.\n"
incrpcorr,"\nincrpcorr( [mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a sample\n    Pearson product-moment correlation coefficient.\n"
